blue,49.51612161090507,-21.63235228533807,0,0.01,0.01,0
blue,47.615803866953335,-23.842288094870103,0,0.01,0.01,0
blue,45.04688647819815,-25.29886225825493,0,0.01,0.01,0
blue,42.40025286096991,-26.61549988165565,0,0.01,0.01,0
blue,39.919322243657696,-28.218245025758712,0,0.01,0.01,0
blue,37.337694720933484,-29.634813694160762,0,0.01,0.01,0
blue,34.41727244436947,-29.999040121041208,0,0.01,0.01,0
blue,31.462755711331766,-30.012108543938602,0,0.01,0.01,0
blue,28.639830541529165,-30.846424144965134,0,0.01,0.01,0
blue,25.950659029687117,-32.07397339892618,0,0.01,0.01,0
blue,23.120243432160592,-32.890605808499046,0,0.01,0.01,0
blue,20.185301998900314,-32.69670938332768,0,0.01,0.01,0
blue,17.41268876422299,-31.68736838871373,0,0.01,0.01,0
blue,14.816194731245659,-30.276095769390466,0,0.01,0.01,0
blue,12.281677880289124,-28.754379814470955,0,0.01,0.01,0
blue,9.68587750483698,-27.341574826370504,0,0.01,0.01,0
blue,6.931719717917417,-26.277140182669,0,0.01,0.01,0
blue,4.047259170266344,-25.637973451310188,0,0.01,0.01,0
blue,1.115444203521605,-25.262243870195043,0,0.01,0.01,0
blue,-1.827869615225282,-24.985998786206427,0,0.01,0.01,0
blue,-4.764302925787561,-24.647035623270575,0,0.01,0.01,0
blue,-7.65916567255519,-24.0572047292387,0,0.01,0.01,0
blue,-10.409289419061764,-22.988654103663798,0,0.01,0.01,0
blue,-12.78846235608684,-21.25228328750834,0,0.01,0.01,0
blue,-14.54627510715244,-18.88798435732337,0,0.01,0.01,0
blue,-15.68869419254159,-16.166898215265768,0,0.01,0.01,0
blue,-16.32524579386603,-13.283342625641236,0,0.01,0.01,0
blue,-16.50066775591523,-10.335305184867154,0,0.01,0.01,0
blue,-16.18886468918845,-7.399499870485474,0,0.01,0.01,0
blue,-15.281455745098341,-4.593506444166444,0,0.01,0.01,0
blue,-13.611541906512116,-2.1709672059714116,0,0.01,0.01,0
blue,-11.241589285929578,-0.424065879561379,0,0.01,0.01,0
blue,-8.487346893539097,0.6332253397467866,0,0.01,0.01,0
blue,-5.58613934430258,1.1888261020063275,0,0.01,0.01,0
blue,-2.640753621121121,1.432832027560071,0,0.01,0.01,0
blue,0.3144842690294922,1.5023452952693006,0,0.01,0.01,0
blue,3.270725283427012,1.4972926456038707,0,0.01,0.01,0
blue,6.226941138571306,1.5027119673739975,0,0.01,0.01,0
blue,9.18257866985823,1.5624395952245216,0,0.01,0.01,0
blue,12.138134484479096,1.6263769113653943,0,0.01,0.01,0
blue,15.094227081961549,1.622774247520475,0,0.01,0.01,0
blue,18.04568784807607,1.4650453116025162,0,0.01,0.01,0
blue,20.971017925221602,1.0486507134273921,0,0.01,0.01,0
blue,23.81696203747532,0.2590101557608939,0,0.01,0.01,0
blue,26.488821969219586,-0.9962781060454731,0,0.01,0.01,0
blue,28.872154107693092,-2.7373999196297127,0,0.01,0.01,0
blue,31.08673653354581,-4.693468946545892,0,0.01,0.01,0
blue,33.58724883674918,-6.2646641056030035,0,0.01,0.01,0
blue,36.235925625157094,-7.577063981558112,0,0.01,0.01,0
blue,38.88427790235256,-8.890275475581518,0,0.01,0.01,0
blue,41.44375016863471,-10.367980357837443,0,0.01,0.01,0
blue,43.862671566154006,-12.065743710898285,0,0.01,0.01,0
blue,46.11136506626562,-13.982833689920088,0,0.01,0.01,0
blue,48.09953589023684,-16.166474128996988,0,0.01,0.01,0
blue,49.52809376936674,-18.73909291380741,0,0.01,0.01,0
yellow,46.72839277975476,-20.528064136846627,0,0.01,0.01,0
yellow,44.355682893284765,-22.288923795053172,0,0.01,0.01,0
yellow,41.669809387055615,-23.61315311534453,0,0.01,0.01,0
yellow,39.09088136565332,-25.1299797523038,0,0.01,0.01,0
yellow,36.56510261658137,-26.725830927937505,0,0.01,0.01,0
yellow,33.60080458871426,-26.9836862091439,0,0.01,0.01,0
yellow,30.612858529178553,-27.097775175309398,0,0.01,0.01,0
yellow,27.753453802556855,-27.962587060467964,0,0.01,0.01,0
yellow,25.028649346729992,-29.20442826833411,0,0.01,0.01,0
yellow,22.152085322160474,-29.941812873112386,0,0.01,0.01,0
yellow,19.262249467156778,-29.232124077643352,0,0.01,0.01,0
yellow,16.608001564149887,-27.84965220329538,0,0.01,0.01,0
yellow,14.039973022938867,-26.309202172976242,0,0.01,0.01,0
yellow,11.423626455701438,-24.85356204101793,0,0.01,0.01,0
yellow,8.670607161625966,-23.68128741011487,0,0.01,0.01,0
yellow,5.779968435750135,-22.906651377479417,0,0.01,0.01,0
yellow,2.8236051428486917,-22.43439822260881,0,0.01,0.01,0
yellow,-0.15513193553627502,-22.127421430286176,0,0.01,0.01,0
yellow,-3.1353065667342577,-21.834230492159318,0,0.01,0.01,0
yellow,-6.090424429868619,-21.35802518043957,0,0.01,0.01,0
yellow,-8.914134808207478,-20.38503110102094,0,0.01,0.01,0
yellow,-11.218181153635413,-18.510114610429355,0,0.01,0.01,0
yellow,-12.621484999879456,-15.878327713230952,0,0.01,0.01,0
yellow,-13.33868200639806,-12.976194920687917,0,0.01,0.01,0
yellow,-13.488084266145776,-9.989757970453654,0,0.01,0.01,0
yellow,-13.011181388967344,-7.040801465480854,0,0.01,0.01,0
yellow,-11.611222594522161,-4.422176786341186,0,0.01,0.01,0
yellow,-9.153715038581936,-2.753596914085417,0,0.01,0.01,0
yellow,-6.275793386201983,-1.9481893265058403,0,0.01,0.01,0
yellow,-3.301987455953494,-1.6084635528209432,0,0.01,0.01,0
yellow,-0.30954025658223827,-1.5033199944520383,0,0.01,0.01,0
yellow,2.685062850034342,-1.4999240037992188,0,0.01,0.01,0
yellow,5.679683102557178,-1.5029344812792722,0,0.01,0.01,0
yellow,8.67383830284426,-1.4508250954528457,0,0.01,0.01,0
yellow,11.667679523301658,-1.3817699039582791,0,0.01,0.01,0
yellow,14.662155336056784,-1.3696720015593016,0,0.01,0.01,0
yellow,17.652780196255065,-1.5118412929523721,0,0.01,0.01,0
yellow,20.614520201452805,-1.9412899001195036,0,0.01,0.01,0
yellow,23.470234520817783,-2.8275993381864204,0,0.01,0.01,0
yellow,26.062728061206528,-4.311917505960807,0,0.01,0.01,0
yellow,28.305937223446847,-6.293463803731115,0,0.01,0.01,0
yellow,30.71230234808462,-8.070176368473632,0,0.01,0.01,0
yellow,33.33774127185985,-9.508137799451774,0,0.01,0.01,0
yellow,36.034379510568556,-10.810408364752238,0,0.01,0.01,0
yellow,38.68442220890372,-12.203816916086494,0,0.01,0.01,0
yellow,41.201172436661395,-13.824380551601713,0,0.01,0.01,0
yellow,43.53997332178379,-15.692384007103874,0,0.01,0.01,0
yellow,45.60999364058503,-17.85124701078782,0,0.01,0.01,0
big_orange,4.7,2.2,0,0.01,0.01,0
big_orange,4.7,-2.2,0,0.01,0.01,0
big_orange,7.3,2.2,0,0.01,0.01,0
big_orange,7.3,-2.2,0,0.01,0.01,0
